name,area_km2,pm25_mean,no2_mean,n_grid,pm25_who_ratio,no2_who_ratio
Alhué,843.72,10.18,11.05,9,2.04,1.11
Buin,217.49,28.77,42.63,2,5.75,4.26
Calera de Tango,73.05,28.77,42.63,1,5.75,4.26
Cerrillos,16.92,28.77,42.63,1,5.75,4.26
Cerro Navia,11.14,15.9,17.46,0,3.18,1.75
Colina,971.57,10.34,7.7,11,2.07,0.77
Conchalí,10.98,15.9,17.46,0,3.18,1.75
Curacaví,693.8,14.16,15.93,8,2.83,1.59
El Bosque,14.26,28.77,42.63,0,5.75,4.26
El Monte,115.33,11.08,14.56,1,2.22,1.46
Estación Central,14.29,28.77,42.63,0,5.75,4.26
Huechuraba,44.96,7.8,2.96,0,1.56,0.3
Independencia,7.28,15.9,17.46,0,3.18,1.75
Isla de Maipo,187.55,28.77,42.63,2,5.75,4.26
La Cisterna,10.01,28.77,42.63,0,5.75,4.26
La Florida,71.12,17.5,23.7,1,3.5,2.37
La Granja,10.06,17.5,23.7,0,3.5,2.37
La Pintana,30.53,17.5,23.7,0,3.5,2.37
La Reina,23.64,7.8,2.96,0,1.56,0.3
Lampa,450.07,15.9,17.46,4,3.18,1.75
Las Condes,98.9,7.8,2.96,1,1.56,0.3
Lo Barnechea,1022.13,7.28,2.64,8,1.46,0.26
Lo Espejo,8.19,28.77,42.63,0,5.75,4.26
Lo Prado,6.57,15.9,17.46,0,3.18,1.75
Macul,12.81,17.5,23.7,1,3.5,2.37
Maipú,137.61,28.77,42.63,2,5.75,4.26
María Pinto,394.62,11.08,14.56,3,2.22,1.46
Melipilla,1343.13,13.02,17.4,14,2.6,1.74
Padre Hurtado,81.22,28.77,42.63,0,5.75,4.26
Paine,678.14,16.9,22.15,5,3.38,2.21
Pedro Aguirre Cerda,8.64,28.77,42.63,0,5.75,4.26
Peñaflor,69.32,28.77,42.63,1,5.75,4.26
Peñalolén,53.62,17.5,23.7,0,3.5,2.37
Pirque,444.7,17.5,23.7,3,3.5,2.37
Providencia,14.43,7.8,2.96,0,1.56,0.3
Pudahuel,197.45,15.9,17.46,2,3.18,1.75
Puente Alto,88.13,17.5,23.7,2,3.5,2.37
Quilicura,56.99,15.9,17.46,0,3.18,1.75
Quinta Normal,11.83,15.9,17.46,0,3.18,1.75
Recoleta,15.85,7.8,2.96,0,1.56,0.3
Renca,23.75,15.9,17.46,1,3.18,1.75
San Bernardo,153.14,28.77,42.63,1,5.75,4.26
San Joaquín,9.94,17.5,23.7,0,3.5,2.37
San José de Maipo,4984.91,7.46,5.2,50,1.49,0.52
San Miguel,9.63,28.77,42.63,0,5.75,4.26
San Pedro,794.84,7.19,5.7,9,1.44,0.57
San Ramón,6.31,17.5,23.7,0,3.5,2.37
Santiago,23.28,28.77,42.63,0,5.75,4.26
Talagante,128.01,28.77,42.63,2,5.75,4.26
Tiltil,654.87,14.13,14.52,6,2.83,1.45
Vitacura,28.29,7.8,2.96,1,1.56,0.3
Ñuñoa,16.91,17.5,23.7,0,3.5,2.37
