name,area_km2,green_km2,green_pct,n_green
Alhué,843.72,0.016,0.0,4
Buin,217.49,0.72,0.33,159
Calera de Tango,73.05,0.044,0.06,32
Cerrillos,16.92,1.042,6.16,124
Cerro Navia,11.14,0.841,7.55,159
Colina,971.57,1.25,0.13,204
Conchalí,10.98,0.276,2.51,93
Curacaví,693.8,0.077,0.01,17
El Bosque,14.26,0.299,2.09,95
El Monte,115.33,0.089,0.08,44
Estación Central,14.29,0.423,2.96,81
Huechuraba,44.96,0.855,1.9,90
Independencia,7.28,0.126,1.73,39
Isla de Maipo,187.55,0.797,0.42,42
La Cisterna,10.01,0.121,1.21,29
La Florida,71.12,1.011,1.42,326
La Granja,10.06,0.775,7.71,150
La Pintana,30.53,0.64,2.1,222
La Reina,23.64,1.171,4.95,95
Lampa,450.07,0.712,0.16,142
Las Condes,98.9,1.313,1.33,234
Lo Barnechea,1022.13,1.813,0.18,142
Lo Espejo,8.19,0.274,3.34,59
Lo Prado,6.57,0.198,3.02,83
Macul,12.81,0.364,2.84,95
Maipú,137.61,2.175,1.58,720
María Pinto,394.62,0.067,0.02,8
Melipilla,1343.13,0.515,0.04,70
Padre Hurtado,81.22,0.527,0.65,176
Paine,678.14,0.251,0.04,86
Pedro Aguirre Cerda,8.64,0.429,4.97,84
Peñaflor,69.32,0.631,0.91,65
Peñalolén,53.62,1.806,3.37,208
Pirque,444.7,0.338,0.08,36
Providencia,14.43,2.243,15.54,120
Pudahuel,197.45,0.81,0.41,197
Puente Alto,88.13,2.418,2.74,665
Quilicura,56.99,0.732,1.28,388
Quinta Normal,11.83,0.427,3.61,25
Recoleta,15.85,2.72,17.16,57
Renca,23.75,0.47,1.98,68
San Bernardo,153.14,1.688,1.1,293
San Joaquín,9.94,0.371,3.73,75
San José de Maipo,4984.91,0.115,0.0,16
San Miguel,9.63,0.195,2.03,33
San Pedro,794.84,0.025,0.0,5
San Ramón,6.31,0.262,4.15,73
Santiago,23.28,2.055,8.83,261
Talagante,128.01,0.376,0.29,94
Tiltil,654.87,0.109,0.02,18
Vitacura,28.29,1.549,5.48,113
Ñuñoa,16.91,1.107,6.55,117
