name,area_km2,commune_name,n_total,n_hospital,n_pharmacy,density_per_km2,n_access_grid,mean_nearest_health_m,median_nearest_health_m,p90_nearest_health_m,mean_nearest_hospital_m,median_nearest_hospital_m,p90_nearest_hospital_m
Alhué,843.72,Alhué,6,1,2,0.0071,842,7125,6748,12689,11278,11704,16524
Buin,217.49,Buin,25,8,8,0.1149,218,2231,2119,3882,3609,3605,5935
Calera de Tango,73.05,Calera de Tango,9,4,4,0.1232,73,1758,1653,3216,1975,1931,3234
Cerrillos,16.92,Cerrillos,20,3,11,1.182,17,529,472,861,810,875,1235
Cerro Navia,11.14,Cerro Navia,38,9,18,3.4108,8,219,119,450,517,334,999
Colina,971.57,Colina,51,10,26,0.0525,962,7871,5881,17604,11426,10756,21667
Conchalí,10.98,Conchalí,32,7,14,2.9139,12,431,353,768,773,748,1379
Curacaví,693.8,Curacaví,8,2,3,0.0115,693,8562,8108,15191,9366,8785,16440
El Bosque,14.26,El Bosque,51,8,28,3.5771,14,361,429,531,660,620,981
El Monte,115.33,El Monte,5,2,1,0.0434,114,3910,4039,6265,5716,5961,9202
Estación Central,14.29,Estación Central,45,14,24,3.1499,15,388,345,585,542,404,957
Huechuraba,44.96,Huechuraba,35,6,21,0.7784,44,1349,1066,2803,1651,1526,2895
Independencia,7.28,Independencia,42,15,14,5.7661,6,246,188,407,487,444,784
Isla de Maipo,187.55,Isla de Maipo,12,2,2,0.064,183,3026,2568,6180,5115,4632,9362
La Cisterna,10.01,La Cisterna,49,10,28,4.8948,9,462,426,760,614,740,818
La Florida,71.12,La Florida,121,24,64,1.7013,66,2368,1138,6138,3214,2773,7046
La Granja,10.06,La Granja,21,3,8,2.0875,9,457,535,627,805,708,1032
La Pintana,30.53,La Pintana,15,6,4,0.4913,30,919,752,1672,1089,896,1672
La Reina,23.64,La Reina,55,13,27,2.3264,21,701,482,1761,1215,815,2498
Lampa,450.07,Lampa,19,7,6,0.0422,449,4705,4134,9200,5392,4710,10367
Las Condes,98.9,Las Condes,175,33,110,1.7694,101,2483,1453,6463,2923,1914,6906
Lo Barnechea,1022.13,Lo Barnechea,35,8,19,0.0342,1024,16505,17030,27320,17202,17610,27891
Lo Espejo,8.19,Lo Espejo,9,4,2,1.0983,8,596,463,1084,657,524,1084
Lo Prado,6.57,Lo Prado,25,7,11,3.8054,6,222,121,468,453,479,762
Macul,12.81,Macul,28,9,10,2.1852,13,370,301,561,496,536,577
Maipú,137.61,Maipú,111,29,51,0.8066,138,2218,1528,5446,3390,2299,8175
María Pinto,394.62,María Pinto,6,1,1,0.0152,388,4611,3962,8359,9864,9392,17159
Melipilla,1343.13,Melipilla,37,10,13,0.0275,1346,6926,6679,12372,9434,9405,15271
Padre Hurtado,81.22,Padre Hurtado,7,3,2,0.0862,80,3494,3242,6519,3992,3564,7415
Paine,678.14,Paine,18,7,3,0.0265,678,4741,3983,9137,8094,7527,14637
Pedro Aguirre Cerda,8.64,Pedro Aguirre Cerda,21,9,9,2.4315,8,396,365,556,455,422,608
Peñaflor,69.32,Peñaflor,15,5,3,0.2164,68,1866,1674,3637,2263,2217,3665
Peñalolén,53.62,Peñalolén,55,12,26,1.0257,50,2010,1053,4946,2477,1764,5736
Pirque,444.7,Pirque,15,3,5,0.0337,444,6322,5342,13423,8634,7566,16485
Providencia,14.43,Providencia,195,56,100,13.5107,12,296,247,592,375,337,620
Pudahuel,197.45,Pudahuel,63,14,26,0.3191,193,3383,2754,7392,4345,3942,8214
Puente Alto,88.13,Puente Alto,124,31,56,1.407,88,1173,775,2953,1721,1153,4005
Quilicura,56.99,Quilicura,100,17,50,1.7546,56,1010,864,2079,1403,1176,2752
Quinta Normal,11.83,Quinta Normal,27,4,12,2.2819,9,364,320,587,614,689,795
Recoleta,15.85,Recoleta,51,9,26,3.2175,15,426,431,713,636,590,939
Renca,23.75,Renca,24,4,12,1.0107,22,632,566,1032,1029,962,1466
San Bernardo,153.14,San Bernardo,76,19,35,0.4963,153,1796,1825,3018,2534,2457,4679
San Joaquín,9.94,San Joaquín,18,3,7,1.8112,8,370,329,594,796,735,1150
San José de Maipo,4984.91,San José de Maipo,8,1,1,0.0016,4982,26716,25556,47689,37496,37393,61650
San Miguel,9.63,San Miguel,49,12,24,5.0891,8,258,289,416,492,389,887
San Pedro,794.84,San Pedro,7,1,1,0.0088,796,7475,7147,13256,11848,11988,18233
San Ramón,6.31,San Ramón,21,5,10,3.3292,5,261,238,357,364,423,461
Santiago,23.28,Santiago,262,39,186,11.2561,21,243,206,448,409,403,684
Talagante,128.01,Talagante,40,9,14,0.3125,129,2451,2450,4232,3331,3440,5117
Tiltil,654.87,Tiltil,8,3,1,0.0122,656,4903,4636,8105,8862,7794,16556
Vitacura,28.29,Vitacura,59,14,37,2.0853,29,756,446,1661,1120,1032,2035
Ñuñoa,16.91,Ñuñoa,116,13,82,6.859,16,232,214,415,484,498,773
